,EventName,PreSalename,PreSalestartdate,PreSaleenddate,StartDatetime,StartLocaltime,StartLocalDate,StartTimezone,EventCategory,Genre,SubGenre,Family,PromoterName,MinPrice,MaxPrice,TicketInfo,CityName,StateName,PostalCode,Address,Longitude,Latitude,UpcomingMoreevent ,ticket0nTickeMaster,Venue,LineUp
448,Sesame Street Live! Let's Party!,Preferred Presale,2019-06-04T14:00:00Z,2019-06-11T03:59:00Z,2019-11-15T15:30:00Z,10:30:00,2019-11-15,America/New_York,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,20.0,60.0,There is an overall 8 ticket limit for this event.,Atlanta,Georgia,30339,2800 Cobb Galleria Parkway,-84.4583631,33.8844269,64,64,Cobb Energy Performing Arts Centre,Sesame Street Live! Let's Party!
449,Boston Bruins vs. Buffalo Sabres,Client Presales,2019-06-26T14:00:00Z,2019-06-26T18:00:00Z,2019-12-30T00:00:00Z,19:00:00,2019-12-29,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,129.0,999.0,There is an overall 8 ticket limit for this event.,Boston,Massachusetts,02114,100 Legends Way,-71.060724,42.365841,71,66,TD Garden,Boston Bruins
450,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-05-15T03:00:00Z,20:00:00,2020-05-14,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,450.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
451,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-09-06T03:00:00Z,20:00:00,2020-09-05,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
452,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-05-30T03:00:00Z,20:00:00,2020-05-29,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,475.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
453,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-09-13T03:00:00Z,20:00:00,2020-09-12,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
454,Detroit Red Wings vs. Arizona Coyotes,Presale,2019-07-17T14:00:00Z,2019-07-19T02:00:00Z,2019-12-23T00:00:00Z,19:00:00,2019-12-22,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,79.0,429.25,There is a 12 ticket limit on this event.,Detroit,Michigan,48201,2645 Woodward,-83.055434,42.341089,74,69,Little Caesars Arena,Detroit Red Wings
456,Golden State Warriors vs. Toronto Raptors,Resale,2019-08-14T17:00:00Z,2020-03-06T03:30:00Z,2020-03-06T03:30:00Z,19:30:00,2020-03-05,America/Los_Angeles,Sports,Basketball,NBA,False,NBA REGULAR SEASON,85.0,2250.0,There is a 8 ticket limit.,San Francisco,California,94158,300 16th Street,-122.387464,37.76797,78,69,Chase Center,Golden State Warriors
457,Sesame Street Live! Let's Party!,Feld Preferred Presale,2019-06-04T14:00:00Z,2019-06-11T03:59:00Z,2019-11-30T15:30:00Z,10:30:00,2019-11-30,America/New_York,Arts & Theatre,Children's Theatre,Children's Theatre,False,PROMOTED BY VENUE,15.0,60.0,There is an eight (8) ticket limit for this event.,Youngstown,Ohio,44503,229 East Front Street,-80.649337,41.095669,64,64,Covelli Centre,Sesame Street Live! Let's Party!
460,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-06-13T03:00:00Z,20:00:00,2020-06-12,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,475.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
461,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-07-04T03:00:00Z,20:00:00,2020-07-03,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,475.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
462,Sesame Street Live! Let's Party!,Preferred Presale,2019-06-04T15:00:00Z,2019-06-11T04:59:00Z,2019-12-17T23:30:00Z,17:30:00,2019-12-17,America/Chicago,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,35.0,70.0,There is an overall 8 ticket limit for this event.,Cedar Park,Texas,78613,2100 Avenue of the Stars,-97.82448,30.5393195,64,64,H-E-B Center at Cedar Park,Sesame Street Live! Let's Party!
463,Detroit Red Wings vs. Washington Capitals,Presale,2019-07-17T14:00:00Z,2019-07-19T02:00:00Z,2019-12-01T00:00:00Z,19:00:00,2019-11-30,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,69.0,395.25,There is a 12 ticket limit on this event.,Detroit,Michigan,48201,2645 Woodward,-83.055434,42.341089,74,69,Little Caesars Arena,Detroit Red Wings
464,Brooklyn Nets v. Toronto Raptors,American Express® Card Member Presale,2019-08-12T19:00:00Z,2019-08-13T18:59:00Z,2020-02-13T00:30:00Z,19:30:00,2020-02-12,America/New_York,Sports,Basketball,NBA,False,NBA REGULAR SEASON,62.0,4000.0,There is an 8 ticket limit for this event. Group discounts are available for Groups of 10 or more by calling 855-GROUP-BK.,Brooklyn,New York,11217,620 Atlantic Ave,-73.97661659,40.68350417,78,70,Barclays Center,Brooklyn Nets
466,Boston Bruins vs. Pittsburgh Penguins,Client Presales,2019-06-26T14:00:00Z,2019-06-26T18:00:00Z,2020-01-17T00:00:00Z,19:00:00,2020-01-16,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,99.0,999.0,There is an overall 8 ticket limit for this event.,Boston,Massachusetts,02114,100 Legends Way,-71.060724,42.365841,72,67,TD Garden,Boston Bruins
467,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-08-16T03:00:00Z,20:00:00,2020-08-15,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
468,Sesame Street Live! Let's Party!,Feld Preferred Presale,2019-06-04T14:00:00Z,2019-06-11T03:59:00Z,2019-11-30T19:00:00Z,14:00:00,2019-11-30,America/New_York,Arts & Theatre,Children's Theatre,Children's Theatre,False,PROMOTED BY VENUE,15.0,60.0,There is an eight (8) ticket limit for this event.,Youngstown,Ohio,44503,229 East Front Street,-80.649337,41.095669,64,64,Covelli Centre,Sesame Street Live! Let's Party!
469,New Jersey Devils vs. Detroit Red Wings,American Express® Card Member Presale,2019-08-06T18:00:00Z,2019-08-08T13:00:00Z,2019-11-24T00:00:00Z,19:00:00,2019-11-23,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,43.5,334.0,There is an overall 8 ticket limit for this event.,Newark,New Jersey,07102,25 Lafayette Street,-74.17121214,40.73340555,75,71,Prudential Center,New Jersey Devils
470,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-07-25T21:00:00Z,14:00:00,2020-07-25,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
471,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-08-30T03:00:00Z,20:00:00,2020-08-29,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
474,Arizona Coyotes vs. St. Louis Blues,Resale,2019-07-02T17:00:00Z,2019-09-17T02:00:00Z,2020-01-01T02:00:00Z,19:00:00,2019-12-31,America/Phoenix,Sports,Hockey,NHL,False,NHL REGULAR SEASON,25.0,148.0,There is an overall 9 ticket limit for this event.,Glendale,Arizona,85305,9400 West Maryland,-112.26167,33.531484,71,65,Gila River Arena,Arizona Coyotes
475,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-06-05T03:00:00Z,20:00:00,2020-06-04,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,450.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
476,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-08-01T21:00:00Z,14:00:00,2020-08-01,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
477,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-05-13T03:00:00Z,20:00:00,2020-05-12,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,450.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
478,Boston Bruins vs. Columbus Blue Jackets,Client Presales,2019-06-26T14:00:00Z,2019-06-26T18:00:00Z,2020-01-03T00:00:00Z,19:00:00,2020-01-02,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,99.0,999.0,There is an overall 8 ticket limit for this event.,Boston,Massachusetts,02114,100 Legends Way,-71.060724,42.365841,71,66,TD Garden,Boston Bruins
479,Boston Bruins vs. New York Islanders,Client Presales,2019-06-26T14:00:00Z,2019-06-26T18:00:00Z,2019-12-20T00:00:00Z,19:00:00,2019-12-19,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,69.0,999.0,There is an overall 8 ticket limit for this event.,Boston,Massachusetts,02114,100 Legends Way,-71.060724,42.365841,71,66,TD Garden,Boston Bruins
480,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-07-05T20:00:00Z,13:00:00,2020-07-05,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
481,Hamilton (NY),Verified Fan Presale,2018-11-12T15:00:00Z,2018-11-13T04:59:00Z,2019-11-07T01:00:00Z,20:00:00,2019-11-06,America/New_York,Arts & Theatre,Theatre,Musical,False,NEDERLANDER PRODUCTIONS,199.0,235.0,There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 5/21/19 - 11/10/19 is 8 tickets.,New York,New York,10036,226 West 46th Street,-73.98676323,40.75920382,244,244,Richard Rodgers Theatre,Hamilton (NY)
482,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-05-07T03:00:00Z,20:00:00,2020-05-06,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,450.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
483,Sesame Street Live! Let's Party!,Preferred Presale,2019-06-04T15:00:00Z,2019-06-11T04:59:00Z,2019-11-02T19:00:00Z,14:00:00,2019-11-02,America/Chicago,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,15.0,60.0,There is an 8 ticket limit for this event.,Mobile,Alabama,36602,401 Civic Center Dr.,-88.0449175,30.6870068,64,64,Mobile Civic Center Theater,Sesame Street Live! Let's Party!
484,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-06-03T03:00:00Z,20:00:00,2020-06-02,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,450.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
485,Sesame Street Live! Let's Party!,Feld Preferred Presale,2019-06-04T15:00:00Z,2019-06-11T04:59:00Z,2019-12-06T16:30:00Z,10:30:00,2019-12-06,America/Chicago,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,15.0,75.0,There is an overall 8 ticket limit for this event.,New Orleans,Louisiana,70122,6801 Franklin Ave,-90.05043224,30.03002336,64,64,UNO Lakefront Arena,Sesame Street Live! Let's Party!
486,Sesame Street Live! Let's Party!,Feld Preferred Presale,2019-06-04T15:00:00Z,2019-06-11T04:59:00Z,2019-12-14T20:30:00Z,14:30:00,2019-12-14,America/Chicago,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,15.0,55.0,There is an overall 8 ticket limit for this event.,Southaven,Mississippi,38671,4560 Venture Dr,-89.9975673,34.9305909,64,64,Landers Center ,Sesame Street Live! Let's Party!
488,Arizona Coyotes vs. New Jersey Devils,Resale,2019-07-02T17:00:00Z,2019-09-17T02:00:00Z,2019-12-15T01:00:00Z,18:00:00,2019-12-14,America/Phoenix,Sports,Hockey,NHL,False,NHL REGULAR SEASON,25.0,127.0,There is an overall 9 ticket limit for this event.,Glendale,Arizona,85305,9400 West Maryland,-112.26167,33.531484,71,65,Gila River Arena,Arizona Coyotes
490,Boston Bruins vs. Detroit Red Wings,Client Presales,2019-06-26T14:00:00Z,2019-06-26T18:00:00Z,2020-02-15T18:00:00Z,13:00:00,2020-02-15,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,139.0,999.0,There is an overall 8 ticket limit for this event.,Boston,Massachusetts,02114,100 Legends Way,-71.060724,42.365841,71,66,TD Garden,Boston Bruins
492,Orlando Magic vs. Toronto Raptors,Resale Onsale,2019-08-11T19:00:00Z,2019-08-11T19:30:00Z,2020-04-15T23:30:00Z,19:30:00,2020-04-15,America/New_York,Sports,Basketball,NBA,False,NBA REGULAR SEASON,20.0,1801.5,There is an overall 8 ticket limit for this event.,Orlando,Florida,32801,400 W Church St.,-81.383957,28.539293,78,71,Amway Center,Orlando Magic
496,Boston Bruins vs. Detroit Red Wings,Client Presales,2019-06-26T14:00:00Z,2019-06-26T18:00:00Z,2020-02-15T18:00:00Z,13:00:00,2020-02-15,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,139.0,999.0,There is an overall 8 ticket limit for this event.,Boston,Massachusetts,02114,100 Legends Way,-71.060724,42.365841,72,67,TD Garden,Boston Bruins
500,Tampa Bay Lightning vs. Detroit Red Wings,Lightning Priority Presale #1,2019-08-06T14:00:00Z,2019-08-09T12:00:00Z,2019-12-30T00:00:00Z,19:00:00,2019-12-29,America/New_York,Sports,Hockey,NHL,False,NHL REGULAR SEASON,57.25,481.25,There is an overall 8 ticket limit for this event.,Tampa,Florida,33602,401 Channelside Dr,-82.451772,27.942743,71,67,Amalie Arena,Tampa Bay Lightning
501,Hamilton (NY),Verified Fan Presale,2019-06-11T14:00:00Z,2019-06-13T03:59:00Z,2019-11-16T19:00:00Z,14:00:00,2019-11-16,America/New_York,Arts & Theatre,Theatre,Musical,False,NEDERLANDER PRODUCTIONS,199.0,239.0,There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 11/12/19 - 6/7/20 is 8 tickets.,New York,New York,10036,226 West 46th Street,-73.98676323,40.75920382,244,244,Richard Rodgers Theatre,Hamilton (NY)
502,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-08-02T20:00:00Z,13:00:00,2020-08-02,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,495.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
503,Sesame Street Live! Let's Party!,Preferred Presale,2019-06-04T15:00:00Z,2019-06-11T04:59:00Z,2019-11-23T16:30:00Z,10:30:00,2019-11-23,America/Chicago,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,15.0,70.0,There is an overall 8 ticket limit for this event.,Birmingham,Alabama,35203,2100 Richard Arrington Boulevard,-86.81011,33.523727,64,64,BJCC Concert Hall,Sesame Street Live! Let's Party!
504,Sesame Street Live! Let's Party!,Feld Preferred Presale,2019-06-04T15:00:00Z,2019-06-11T04:59:00Z,2019-12-07T20:00:00Z,14:00:00,2019-12-07,America/Chicago,Arts & Theatre,Children's Theatre,Children's Theatre,False,FELD ENTERTAINMENT,15.0,75.0,There is an overall 8 ticket limit for this event.,New Orleans,Louisiana,70122,6801 Franklin Ave,-90.05043224,30.03002336,64,64,UNO Lakefront Arena,Sesame Street Live! Let's Party!
505,Hamilton (Touring),Season Ticket Holder Priority Access,2019-10-01T17:00:00Z,2019-10-29T06:59:00Z,2020-04-30T03:00:00Z,20:00:00,2020-04-29,America/Los_Angeles,Arts & Theatre,Theatre,Musical,False,BROADWAY IN HOLLYWOOD,55.0,450.0,The Broadway in Hollywood subscriber ticket limit is 9 tickets and the single ticket buyer ticket limit is 8 tickets. Exceeding these amounts for the entire run of Hamilton may result in the cancelation of all Hamilton tickets.,Los Angeles,California,90028,6233 Hollywood Blvd.,-118.32586552,34.10200961,404,286,Hollywood Pantages Theatre,Hamilton (Touring)
